epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,11942.3,0.69976,0.26624,0.76894,0.95752,0.79391,0.86351,0.62711,0.96487,0.32522,0.79251,0.0023275,0.0023275,0.0023275
126,12043.6,0.69525,0.266,0.76933,0.95514,0.79562,0.86371,0.62874,0.96428,0.3242,0.79232,0.00226562,0.00226562,0.00226562
127,12141,0.69057,0.26402,0.7689,0.95493,0.79621,0.86406,0.62806,0.96315,0.32359,0.79221,0.00220375,0.00220375,0.00220375
128,12240.1,0.69256,0.2639,0.76796,0.96317,0.79315,0.86502,0.62963,0.96343,0.32308,0.79234,0.00214188,0.00214188,0.00214188
129,12341.9,0.68312,0.26249,0.76902,0.95437,0.79758,0.86485,0.62935,0.96282,0.32329,0.79229,0.00208,0.00208,0.00208
130,12443.3,0.68138,0.26073,0.76864,0.95248,0.79823,0.86593,0.63118,0.96065,0.32264,0.79221,0.00201812,0.00201812,0.00201812
131,12543.3,0.68395,0.26018,0.76834,0.9512,0.79913,0.86618,0.63054,0.95991,0.32139,0.79209,0.00195625,0.00195625,0.00195625
132,12642.4,0.6876,0.26172,0.7676,0.95142,0.79787,0.86535,0.63028,0.95896,0.32147,0.79202,0.00189438,0.00189438,0.00189438
133,12744.5,0.6774,0.25937,0.76876,0.95394,0.79843,0.86567,0.63141,0.95805,0.32206,0.79201,0.0018325,0.0018325,0.0018325
134,12834.2,0.68116,0.26017,0.76786,0.95417,0.79923,0.86577,0.63153,0.95843,0.32194,0.79192,0.00177062,0.00177062,0.00177062
135,12922,0.67349,0.25765,0.76942,0.95311,0.7998,0.86584,0.63186,0.95728,0.32096,0.79191,0.00170875,0.00170875,0.00170875
136,13007.5,0.67727,0.25917,0.76739,0.95614,0.79756,0.86739,0.63241,0.95717,0.32025,0.79183,0.00164688,0.00164688,0.00164688
